game,score,epsilon,length
121,50.0,0.09995500000035663,395
122,140.0,0.09995500000035663,808
123,40.0,0.09995500000035663,539
124,185.0,0.09995500000035663,1115
125,295.0,0.09995500000035663,948
126,390.0,0.09995500000035663,998
127,75.0,0.09995500000035663,716
128,50.0,0.09995500000035663,446
129,200.0,0.09995500000035663,906
130,70.0,0.09995500000035663,686
131,55.0,0.09995500000035663,525
132,90.0,0.09995500000035663,611
133,290.0,0.09995500000035663,1029
134,535.0,0.09995500000035663,1107
135,65.0,0.09995500000035663,492
136,120.0,0.09995500000035663,674
137,110.0,0.09995500000035663,834
138,120.0,0.09995500000035663,974
139,60.0,0.09995500000035663,435
140,550.0,0.09995500000035663,1268
141,140.0,0.09995500000035663,555
142,235.0,0.09995500000035663,880
143,45.0,0.09995500000035663,703
144,55.0,0.09995500000035663,666
145,100.0,0.09995500000035663,694
146,185.0,0.09995500000035663,944
147,145.0,0.09995500000035663,783
148,180.0,0.09995500000035663,760
149,290.0,0.09995500000035663,984
150,240.0,0.09995500000035663,936
151,185.0,0.09995500000035663,652
152,145.0,0.09995500000035663,841
153,110.0,0.09995500000035663,640
154,635.0,0.09995500000035663,1775
155,410.0,0.09995500000035663,1059
156,65.0,0.09995500000035663,702
157,105.0,0.09995500000035663,520
158,20.0,0.09995500000035663,679
159,600.0,0.09995500000035663,1171
160,75.0,0.09995500000035663,404
161,220.0,0.09995500000035663,1147
162,130.0,0.09995500000035663,801
163,185.0,0.09995500000035663,895
164,210.0,0.09995500000035663,876
165,55.0,0.09995500000035663,560
166,265.0,0.09995500000035663,982
167,680.0,0.09995500000035663,1554
168,160.0,0.09995500000035663,1224
169,70.0,0.09995500000035663,624
170,780.0,0.09995500000035663,1012
171,230.0,0.09995500000035663,824
172,95.0,0.09995500000035663,642
173,245.0,0.09995500000035663,1125
174,180.0,0.09995500000035663,941
175,550.0,0.09995500000035663,1899
176,470.0,0.09995500000035663,952
177,700.0,0.09995500000035663,1450
178,210.0,0.09995500000035663,1059
179,30.0,0.09995500000035663,394
180,185.0,0.09995500000035663,978
181,30.0,0.09995500000035663,417
182,30.0,0.09995500000035663,611
183,75.0,0.09995500000035663,657
184,135.0,0.09995500000035663,834
185,390.0,0.09995500000035663,900
186,105.0,0.09995500000035663,684
187,135.0,0.09995500000035663,705
188,315.0,0.09995500000035663,1243
189,445.0,0.09995500000035663,1368
190,235.0,0.09995500000035663,1010
191,355.0,0.09995500000035663,1291
192,125.0,0.09995500000035663,529
193,270.0,0.09995500000035663,1233
194,120.0,0.09995500000035663,848
195,240.0,0.09995500000035663,993
196,195.0,0.09995500000035663,807
197,45.0,0.09995500000035663,513
198,105.0,0.09995500000035663,526
199,105.0,0.09995500000035663,637
200,435.0,0.09995500000035663,1252
201,75.0,0.09995500000035663,554
202,30.0,0.09995500000035663,407
203,200.0,0.09995500000035663,913
204,315.0,0.09995500000035663,953
205,35.0,0.09995500000035663,500
206,60.0,0.09995500000035663,521
207,115.0,0.09995500000035663,726
208,150.0,0.09995500000035663,634
209,180.0,0.09995500000035663,812
210,55.0,0.09995500000035663,681
211,60.0,0.09995500000035663,507
212,280.0,0.09995500000035663,1264
213,105.0,0.09995500000035663,650
214,65.0,0.09995500000035663,362
215,175.0,0.09995500000035663,829
216,70.0,0.09995500000035663,523
217,145.0,0.09995500000035663,965
218,50.0,0.09995500000035663,535
219,55.0,0.09995500000035663,498
220,230.0,0.09995500000035663,1036
221,245.0,0.09995500000035663,872
222,180.0,0.09995500000035663,816
223,345.0,0.09995500000035663,1026
224,150.0,0.09995500000035663,695
225,60.0,0.09995500000035663,541
226,235.0,0.09995500000035663,803
227,195.0,0.09995500000035663,965
228,130.0,0.09995500000035663,946
229,210.0,0.09995500000035663,1163
230,95.0,0.09995500000035663,875
231,200.0,0.09995500000035663,965
232,125.0,0.09995500000035663,636
233,175.0,0.09995500000035663,1049
234,55.0,0.09995500000035663,539
235,100.0,0.09995500000035663,639
236,80.0,0.09995500000035663,654
237,335.0,0.09995500000035663,1015
238,185.0,0.09995500000035663,1086
239,600.0,0.09995500000035663,1149
240,110.0,0.09995500000035663,675
241,160.0,0.09995500000035663,696
242,190.0,0.09995500000035663,921
243,505.0,0.09995500000035663,1599
244,215.0,0.09995500000035663,860
245,50.0,0.09995500000035663,878
246,45.0,0.09995500000035663,620
247,225.0,0.09995500000035663,938
248,110.0,0.09995500000035663,658
